,popularity,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_BLACKPINK,artist_BTS,artist_ENHYPEN,artist_ITZY,artist_IU,artist_JEON SOMI,artist_MAMAMOO,artist_Others,artist_Red Velvet,artist_SEVENTEEN,artist_Stray Kids,artist_TOMORROW X TOGETHER,artist_TWICE,artist_aespa,artist_j-hope
35,75,222.732,0,0.733,0.855,9,-3.211,1,0.118,0.00481,0.0,0.123,0.42,126.035,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,77,213.264,0,0.786,0.852,8,-2.687,1,0.0813,0.0687,0.0,0.0759,0.455,125.036,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,77,178.923,0,0.732,0.555,1,-7.902,0,0.034,0.00522,4.65e-06,0.0586,0.65,124.011,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,78,222.025,0,0.439,0.352,0,-9.632,1,0.057,0.587,0.0,0.14,0.548,181.517,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,76,184.677,0,0.564,0.682,6,-6.688,1,0.113,0.0146,0.0,0.123,0.551,107.597,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,75,245.62,0,0.583,0.712,2,-4.942,0,0.0326,0.2,0.0,0.268,0.778,94.051,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,74,234.177,0,0.633,0.799,7,-4.625,0,0.0427,0.0144,0.0,0.194,0.534,142.991,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,72,207.163,0,0.647,0.377,6,-6.003,1,0.0375,0.594,0.0,0.0768,0.653,79.936,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,85,177.186,0,0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,72,168.085,0,0.311,0.607,1,-6.578,1,0.11,0.0174,0.0,0.131,0.286,188.7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,78,174.84,0,0.874,0.6,6,-6.064,1,0.158,0.00942,0.0,0.126,0.457,100.012,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,74,246.38,0,0.583,0.817,9,-5.146,0,0.099,0.118,0.0,0.338,0.437,105.935,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
